iter	Passed	Remaining
844	2426	445
845	2428	442
846	2430	439
847	2432	436
848	2434	433
849	2436	430
850	2438	427
851	2441	424
852	2443	421
853	2445	418
854	2447	415
855	2449	412
856	2453	409
857	2455	406
858	2458	403
859	2461	400
860	2465	397
861	2467	395
862	2469	392
863	2471	389
864	2473	386
865	2475	383
866	2477	380
867	2479	377
868	2481	374
869	2484	371
870	2486	368
871	2488	365
872	2490	362
873	2494	359
874	2496	356
875	2498	353
876	2501	350
877	2504	348
878	2507	345
879	2509	342
880	2511	339
881	2513	336
882	2515	333
883	2517	330
884	2519	327
885	2521	324
886	2523	321
887	2526	318
888	2528	315
889	2530	312
890	2532	309
891	2534	306
892	2537	304
893	2539	301
894	2542	298
895	2544	295
896	2552	293
897	2558	290
898	2565	288
899	2567	285
900	2569	282
901	2571	279
902	2573	276
903	2576	273
904	2579	270
905	2582	267
906	2585	265
907	2587	262
908	2589	259
909	2591	256
910	2593	253
911	2596	250
912	2598	247
913	2600	244
914	2603	241
915	2605	238
916	2608	236
917	2610	233
918	2612	230
919	2616	227
920	2618	224
921	2621	221
922	2623	218
923	2625	215
924	2627	213
925	2629	210
926	2631	207
927	2633	204
928	2635	201
929	2637	198
930	2640	195
931	2642	192
932	2644	189
933	2646	186
934	2648	184
935	2650	181
936	2652	178
937	2655	175
938	2660	172
939	2662	169
940	2664	167
941	2666	164
942	2668	161
943	2670	158
944	2672	155
945	2674	152
946	2677	149
947	2679	146
948	2681	144
949	2683	141
950	2685	138
951	2687	135
952	2690	132
953	2692	129
954	2694	126
955	2697	124
956	2700	121
957	2702	118
958	2704	115
959	2706	112
960	2708	109
961	2710	107
962	2712	104
963	2714	101
964	2716	98
965	2718	95
966	2720	92
967	2722	90
968	2724	87
969	2726	84
970	2729	81
971	2731	78
972	2734	75
973	2737	73
974	2740	70
975	2743	67
976	2745	64
977	2747	61
978	2749	58
979	2752	56
980	2754	53
981	2756	50
982	2758	47
983	2760	44
984	2762	42
985	2764	39
986	2766	36
987	2768	33
988	2771	30
989	2773	28
990	2777	25
991	2780	22
992	2782	19
993	2785	16
994	2787	14
995	2789	11
996	2790	8
997	2793	5
998	2795	2
999	2797	0
